nombre,categoria,ciudad,latitud,longitud,direccion,telefono,sitio_web,imagen_url,servicios
DROGUERIA MEDIC-FARMA,Farmacia,Villanueva,4.608265,-72.9300963,"Cl. 7 #10-8, Villanueva, Casanare",,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlnZnnFVWvPap86waoDJKGJt-YS5KuNj2-fefrKTXEN74fu2PY3Dl64LP3p2FtewukzeLZ1lK4RR8mK6AL1fpb-BhaHQqlTVVikIBbkDGvQ0d8Bhv_SAEEDaUsK-QepGHT6g3dnzQ=w408-h306-k-no,", Entrega a domicilio, "
DROGUERÍA FARMA VIDA CASANARE,Farmacia,Villanueva,4.611252,-72.928126,"Vereda Banquetas Bajo, Villanueva, Casanare",,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWljUzzxGVY86jejwhM7ZowRS6k370ISxoObqAfa8uFjKXB4sD5GCC9o9JT1i1F6HEpplz_MT6ro63DDJ_8cAgHjEACTPpi7_QyF5GL-92rHFKzyBfmYPhXykqr40HQwKB9lXwPdc0_zvTfN=w408-h306-k-no,
la rebaja Plus No. 2 DROGUERIA Y MINIMARKET Plaza de mercado Villanueva,"Tienda de comestibles, periódicos y medicamentos",Villanueva,4.608228,-72.9306144,"Cl. 7 #10 - 59, Villanueva, Casanare",317 3004444,larebajavirtual.com,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlhVMKER45DbMgZO19m7C-1FBLIul2Gs0jl1fy_ogJt-yfoDDbuA1sioAPXvcMKVOmSzfgAwY-SXjv5W4dJXxP8EgVojMkEbRyK3GfoddRDccYNaDjiSxz1Fitxj7oNETnUMB38=w408-h314-k-no,", Compras en tienda, Retiro en tienda, Entrega a domicilio"
DROGUERÍAS LA SALUD STORE,Farmacia,Villanueva,4.6118661,-72.9306303,"Cra. 13 #9 - 79, CENTRO, Villanueva, Casanare",312 4185743,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eBvQze6nivVEStqi7loYVA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=245.44812&pitch=0&thumbfov=100,", Entrega a domicilio, "
Plaza De Mercado,Supermercado,Villanueva,4.6088383,-72.9316072,"Cra. 12 #6-2 a 6-104, Villanueva, Casanare",,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWme-C3ZaBM7TQbHo0wlSkCUWCSJA8bRfqLwu-ETprIHX4VXz9Kxz_VIgJWJVVfTbO9B6atkgchHNhTUWG8ct3KqCouxw3tyrBVnnvHiaA3xjxH76Obl18c4jFus9n0tH-mvBiZx=w408-h725-k-no,", Entrega a domicilio, "
Villanueva Ricas Super,Tienda de alimentación,Villanueva,4.6159525,-72.9232271,"Cl. 19 #91 a 9-105, Villanueva, Casanare",,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkb3FD93Qx8CEePvw59govInrkXYU4ovmxFEe49Ws5fy5-UPwHNkFvWH_ZG1ZKd89zB3yF4Bbnolwm6umeRDmqHd5tQZPe3yFeg3kTWV23U5tK1w17tvFYee0aWngRB0hs1JIXu2g=w408-h306-k-no,", Entrega a domicilio, "
Fruver Plaza,Supermercado,Villanueva,4.6120483,-72.9296342,"Cl. 11 #12-21, Villanueva, Casanare",321 4734164,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWl4C6_3uM5gb5Ac-RPBg0lt9mJ8Lh8HXwq-mVvwVQAtpNllW1HFaPI4Gb9e0zILgEHIqtbJ11VrvF0ej6UKAJAtBod0AvBAaxSD0LrM-mom35-eWF6GNvta1w9_HVLPfd-w0GsP=w408-h544-k-no,", Entrega a domicilio, "
Supermercado Vargas la canasta familiar,Supermercado,Villanueva,4.6202057,-72.9227771,"Cra. 12 #22-71, Villanueva, Casanare",314 5240459,google.com,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWl13ccTFvQLhjvU7ggSPkx-w3m9qUWr6RKzBzBtDqhM8jd8XGJJ6kcsdDgL3nx8NiGyqz8OZxNpzBPu3Y0ZFfrxV0ivU6G8PyDE-JjjLPRc1KXIYHuoU0lniLrAfp-sjfmF5pv7=w408-h544-k-no,", Entrega a domicilio, "
El progreso,Supermercado,Villanueva,4.605378,-72.9256334,"Cl. 8 #4-9, Villanueva, Casanare",,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnly_F_XTH_BtkEvZ4GtapLS-Fy1eGuLDwNbNeIx9R4K9x-5S9WcYZHsaCnacPNJRqfBFiGs-pyX7nkATz7vzHS14aBlCMMZx84XPA-EN-utQvRoA9h9lbcFv5Bl38zzlIPG0dP=w426-h240-k-no,", Entrega a domicilio, "
Taller Mecánico AutoRep 22,Taller de reparación de automóviles,Villanueva,4.6098021,-72.9237353,"Cra. 6 #13-107, Villanueva, Casanare",313 2530581,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FnGtwjjSZyM8a1JmTb0w-w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=89.74627&pitch=0&thumbfov=100,
